,Target Path,RMSD,Length1,TMscore1,Length2,TMscore2,maxTMscore
56425,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1SOJ_K.pdb,2.21,189.0,0.82343,364.0,0.44221,0.82343
44493,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1SOJ_B.pdb,2.22,189.0,0.82243,381.0,0.42295,0.82243
35370,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1TAZ_A.pdb,2.22,189.0,0.82096,322.0,0.49563,0.82096
42749,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1SO2_C.pdb,2.22,189.0,0.82044,372.0,0.43231,0.82044
37418,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/7L27_D.pdb,2.28,189.0,0.81623,370.0,0.4318,0.81623
54839,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5B25_A.pdb,1.96,189.0,0.81567,335.0,0.47328,0.81567
36070,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/7L28_C.pdb,2.26,189.0,0.81552,375.0,0.42604,0.81552
82750,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6MZB_A.pdb,2.43,189.0,0.81534,820.0,0.20062,0.81534
66020,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/7KWE_A.pdb,2.28,189.0,0.81527,363.0,0.43943,0.81527
38477,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3LY2_A.pdb,2.21,189.0,0.81478,345.0,0.46308,0.81478
75799,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5TZA_B.pdb,2.25,189.0,0.81424,338.0,0.46972,0.81424
81006,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6C7E_A.pdb,2.22,189.0,0.81264,342.0,0.464,0.81264
54958,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/2HD1_A.pdb,2.28,189.0,0.81217,326.0,0.48382,0.81217
49129,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3DY8_B.pdb,2.26,189.0,0.81206,328.0,0.48101,0.81206
26299,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3G45_A.pdb,2.21,189.0,0.812,371.0,0.42904,0.812
63869,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3DYN_B.pdb,2.26,189.0,0.81199,328.0,0.48098,0.81199
66664,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3ECN_A.pdb,2.23,189.0,0.81106,338.0,0.46835,0.81106
72887,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3ECM_A.pdb,2.22,189.0,0.81084,338.0,0.46834,0.81084
60667,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/7CWF_A.pdb,2.23,189.0,0.81083,338.0,0.46823,0.81083
53073,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3TGE_A.pdb,2.31,189.0,0.81029,324.0,0.4861,0.81029
478,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5U00_D.pdb,2.25,189.0,0.80981,336.0,0.47083,0.80981
50953,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6EZU_B.pdb,2.32,189.0,0.80975,324.0,0.48791,0.80975
39183,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6FG5_A.pdb,2.44,189.0,0.80949,334.0,0.47446,0.80949
51601,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/7AY6_A.pdb,2.15,189.0,0.80946,332.0,0.47523,0.80946
27542,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1TBF_A.pdb,2.4,189.0,0.80774,326.0,0.4827,0.80774
52778,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5OHJ_B.pdb,2.39,189.0,0.8066,335.0,0.47132,0.8066
70332,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5JO3_B.pdb,2.36,189.0,0.80581,323.0,0.48577,0.80581
57416,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1ZKL_A.pdb,2.19,189.0,0.80534,317.0,0.49247,0.80534
73238,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/4Y2B_A.pdb,2.16,189.0,0.80468,318.0,0.49085,0.80468
61308,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3G3N_A.pdb,2.22,189.0,0.80432,318.0,0.49053,0.80432
