,Target Path,RMSD,Length1,TMscore1,Length2,TMscore2,maxTMscore
30029,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/4ZP3_P.pdb,0.55,223.0,0.13323,30.0,0.86471,0.86471
40769,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/4C31_A.pdb,0.61,223.0,0.13737,31.0,0.84535,0.84535
1101,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/7F16_P.pdb,1.56,223.0,0.14484,34.0,0.83537,0.83537
28454,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6XYW_BO.pdb,0.77,223.0,0.13211,30.0,0.83272,0.83272
14363,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/4I2L_D.pdb,0.9,223.0,0.15327,36.0,0.83062,0.83062
33483,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6WA0_B.pdb,0.72,223.0,0.13241,30.0,0.82081,0.82081
54036,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6G6F_E.pdb,1.38,223.0,0.12595,29.0,0.81944,0.81944
73384,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6J5E_H.pdb,0.88,223.0,0.1273,29.0,0.81553,0.81553
63607,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3R4A_B.pdb,0.8,223.0,0.13192,30.0,0.8112,0.8112
2323,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3VGY_D.pdb,0.76,223.0,0.13215,30.0,0.81075,0.81075
