,Target Path,RMSD,Length1,TMscore1,Length2,TMscore2,maxTMscore
76279,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1WFB_B.pdb,0.34,186.0,0.19807,37.0,0.96282,0.96282
63762,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1ZV8_K.pdb,0.48,186.0,0.2665,50.0,0.95904,0.95904
32805,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1CI6_A.pdb,0.57,186.0,0.29748,56.0,0.95522,0.95522
48267,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3VIE_B.pdb,0.36,186.0,0.19257,36.0,0.95362,0.95362
21180,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6FPK_A.pdb,0.56,186.0,0.28166,53.0,0.95205,0.95205
55961,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6YB2_C.pdb,0.29,186.0,0.16076,30.0,0.951,0.951
984,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/7EK6_A.pdb,0.54,186.0,0.26587,50.0,0.9507,0.9507
50200,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5Y9R_D.pdb,0.48,186.0,0.2345,44.0,0.9488,0.9488
61842,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5YC0_G.pdb,0.32,186.0,0.16602,31.0,0.94878,0.94878
74008,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3VTQ_D.pdb,1.11,186.0,0.19486,37.0,0.9486,0.9486
10921,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1KDD_F.pdb,0.38,186.0,0.18714,35.0,0.94825,0.94825
1391,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3G1E_B.pdb,0.41,186.0,0.19763,37.0,0.94534,0.94534
73250,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1KD8_F.pdb,0.39,186.0,0.18709,35.0,0.94524,0.94524
56718,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1N2D_C.pdb,0.57,186.0,0.25494,48.0,0.9441,0.9441
52254,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3M91_C.pdb,0.51,186.0,0.23955,45.0,0.9437,0.9437
17092,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/2BEQ_B.pdb,0.41,186.0,0.1923,36.0,0.9432,0.9432
60733,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5ZCX_W.pdb,0.36,186.0,0.17652,33.0,0.94309,0.94309
81414,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3WMI_B.pdb,0.42,186.0,0.19758,37.0,0.94256,0.94256
29470,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5ZVK_A.pdb,0.76,186.0,0.36832,70.0,0.94057,0.94057
64693,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6EJN_C.pdb,0.68,186.0,0.31697,60.0,0.93924,0.93924
81295,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/2WT7_A.pdb,0.71,186.0,0.33236,63.0,0.93889,0.93889
44227,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/4N3X_B.pdb,0.65,186.0,0.26998,51.0,0.93833,0.93833
