,SeqName,Alignment,SeqLength,tms1,tms2,SeqID,ProportionAligned,AvgProb3,AvgProb5,AvgProb9,PropHighProb
0,WP_011793178.1,1,134,0.5142,0.2995,9.0,0.9925373134328358,0.500560606060606,0.6220909090909092,0.7538333333333338,0.3106060606060606
1,WP_011793178.1,2,134,0.5128,0.4063,5.2,1.0,0.4832481203007519,0.6167293233082708,0.7503157894736845,0.24060150375939848
2,WP_011793178.1,3,134,0.5128,0.4063,5.2,1.0,0.4832481203007519,0.6167293233082708,0.7503157894736845,0.24060150375939848
3,WP_011793178.1,4,134,0.5123,0.311,8.3,0.9925373134328358,0.5010075757575759,0.6230227272727273,0.7555000000000001,0.29545454545454547
4,WP_011793178.1,5,134,0.5042,0.2941,9.0,0.9925373134328358,0.5010681818181817,0.6160075757575759,0.740886363636364,0.3181818181818182
5,WP_010937346.1,1,57,0.5454,0.4770,5.3,1.0,0.6422499999999998,0.7954999999999999,0.9384821428571429,0.0
6,WP_010937346.1,2,57,0.5423,0.4319,1.8,0.9824561403508771,0.6378545454545453,0.8137454545454545,0.9334181818181816,0.03636363636363636
7,WP_010937346.1,3,57,0.5399,0.5029,7.1,0.9824561403508771,0.5974727272727273,0.8022545454545454,0.9538181818181818,0.0
8,WP_010937346.1,4,57,0.5375,0.5205,3.5,1.0,0.6101964285714285,0.8007857142857144,0.9492678571428571,0.0
9,WP_010937346.1,5,57,0.5305,0.4389,5.3,1.0,0.6195714285714284,0.7935714285714289,0.9285178571428573,0.017857142857142856
10,WP_010937351.1,1,204,0.7334,0.4556,10.0,0.9852941176470589,0.587845,0.75744,0.8987099999999997,0.26
11,WP_010937351.1,2,204,0.7300,0.4574,7.4,0.9901960784313726,0.5819502487562189,0.7507611940298503,0.8907313432835815,0.23383084577114427
12,WP_010937351.1,3,204,0.7297,0.4388,10.5,0.9803921568627451,0.5905175879396983,0.758010050251256,0.8963366834170857,0.23115577889447236
13,WP_010937351.1,4,204,0.7220,0.4629,8.4,0.9901960784313726,0.5646965174129354,0.7423084577114425,0.8895621890547261,0.1890547263681592
14,WP_010937351.1,5,204,0.7116,0.3185,12.0,0.9362745098039216,0.6184052631578948,0.7781842105263157,0.9018473684210525,0.19473684210526315
15,WP_010937376.1,1,265,0.6446,0.626,7.3,0.9283018867924528,0.5618530612244896,0.6715020408163264,0.8028122448979589,0.23673469387755103
16,WP_010937376.1,2,265,0.6444,0.4394,6.3,0.9509433962264151,0.5517171314741035,0.6615936254980078,0.7849920318725102,0.2350597609561753
17,WP_010937376.1,3,265,0.6408,0.6063,11.1,0.9547169811320755,0.544186507936508,0.6548214285714286,0.7912460317460314,0.10714285714285714
18,WP_010937376.1,4,265,0.6405,0.6071,13.9,0.9471698113207547,0.5497159999999999,0.6527000000000003,0.7835240000000001,0.152
19,WP_010937376.1,5,265,0.6405,0.6071,13.9,0.9471698113207547,0.5497119999999999,0.6527040000000003,0.7835240000000001,0.152
20,WP_010937444.1,1,240,0.4578,0.5477,7.2,0.7541666666666667,0.4566611111111112,0.6085388888888884,0.7777777777777775,0.09444444444444444
21,WP_010937444.1,2,240,0.4578,0.5477,7.2,0.7541666666666667,0.4566611111111112,0.6085222222222217,0.7777777777777775,0.09444444444444444
22,WP_010937444.1,3,240,0.4559,0.527,5.3,0.7875,0.42819680851063785,0.5825425531914898,0.7566755319148931,0.06914893617021277
23,WP_010937444.1,4,240,0.4535,0.5414,9.9,0.7541666666666667,0.4486611111111111,0.6027999999999997,0.7739000000000005,0.07222222222222222
24,WP_010937444.1,5,240,0.4535,0.5414,9.9,0.7541666666666667,0.4486611111111111,0.6027999999999997,0.7739000000000005,0.07222222222222222
25,WP_010937447.1,1,72,0.8632,0.7457,25.0,1.0,0.8868028169014084,0.9487887323943659,0.980704225352113,0.8591549295774648
26,WP_010937447.1,2,72,0.8632,0.7457,25.0,1.0,0.8868028169014084,0.9487887323943659,0.980704225352113,0.8591549295774648
27,WP_010937447.1,3,72,0.8517,0.7158,16.7,1.0,0.876859154929577,0.9488591549295773,0.9847464788732398,0.8028169014084507
28,WP_010937447.1,4,72,0.8507,0.7153,16.7,1.0,0.8756478873239435,0.9473661971830984,0.9851971830985917,0.7887323943661971
29,WP_010937447.1,5,72,0.8436,0.6820,20.8,1.0,0.8670704225352113,0.94056338028169,0.980774647887324,0.8028169014084507
30,WP_010937457.1,1,269,0.5694,0.3035,7.8,0.9553903345724907,0.4381718749999998,0.5905390624999999,0.7572148437499999,0.11328125
31,WP_010937457.1,2,269,0.5632,0.3010,7.8,0.9553903345724907,0.43398046874999957,0.5851523437500004,0.7509804687499998,0.10546875
32,WP_010937457.1,3,269,0.5613,0.4499,11.4,0.9479553903345725,0.46398031496063,0.5876259842519687,0.7304409448818896,0.24015748031496062
33,WP_010937457.1,4,269,0.505,0.3648,16.1,0.9442379182156134,0.43081027667984173,0.5279209486166007,0.6449525691699596,0.24110671936758893
