,Target Path,RMSD,Length1,TMscore1,Length2,TMscore2,maxTMscore
77973,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1JEK_B.pdb,0.69,91.0,0.34933,34.0,0.82656,0.82656
37029,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1COI_A.pdb,1.54,91.0,0.29729,29.0,0.8179,0.8179
65108,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/4AUV_C.pdb,1.72,91.0,0.34586,35.0,0.81711,0.81711
26085,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/2O7H_C.pdb,0.79,91.0,0.34558,33.0,0.81461,0.81461
11991,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5YC0_G.pdb,0.72,91.0,0.32705,31.0,0.81271,0.81271
21148,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/7A4Y_D.pdb,0.79,91.0,0.30513,29.0,0.80614,0.80614
60112,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6NBF_P.pdb,1.51,91.0,0.32586,32.0,0.79849,0.79849
79786,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6G6G_L.pdb,0.73,91.0,0.31648,30.0,0.7943,0.7943
29842,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/4OGQ_F.pdb,0.6,91.0,0.30994,32.0,0.79417,0.79417
15520,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/2SIV_F.pdb,0.97,91.0,0.3401,34.0,0.79237,0.79237
79435,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6OVS_A.pdb,0.51,91.0,0.31196,33.0,0.79055,0.79055
