,Target Path,RMSD,Length1,TMscore1,Length2,TMscore2,maxTMscore
6852,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3VGY_D.pdb,0.91,151.0,0.17317,30.0,0.75673,0.75673
7843,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/4BD2_C.pdb,1.08,151.0,0.17785,30.0,0.75388,0.75388
24885,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6G6F_E.pdb,1.54,151.0,0.17894,29.0,0.74995,0.74995
31638,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6Q5R_K.pdb,1.31,151.0,0.18121,30.0,0.74875,0.74875
9780,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6WCU_B.pdb,1.05,151.0,0.17754,30.0,0.74714,0.74714
29934,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6Q5O_A.pdb,0.98,151.0,0.17843,30.0,0.74566,0.74566
79079,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/1YOD_A.pdb,1.08,151.0,0.17738,30.0,0.74529,0.74529
22767,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/4PND_A.pdb,1.53,151.0,0.17933,30.0,0.74246,0.74246
58542,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5KKV_A.pdb,1.57,151.0,0.19241,32.0,0.74224,0.74224
21538,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6G68_F.pdb,1.36,151.0,0.18105,30.0,0.73972,0.73972
23941,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/4H7R_B.pdb,1.29,151.0,0.18176,31.0,0.73796,0.73796
53919,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/3LJM_B.pdb,0.78,151.0,0.17408,29.0,0.73782,0.73782
9367,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6G6G_L.pdb,1.24,151.0,0.1822,30.0,0.73706,0.73706
34224,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/2OVC_A.pdb,1.09,151.0,0.18282,30.0,0.73653,0.73653
20131,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5ZCX_A.pdb,1.47,151.0,0.18091,31.0,0.73533,0.73533
11605,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6Q5R_I.pdb,1.36,151.0,0.18033,30.0,0.73448,0.73448
33462,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/7NFH_B.pdb,1.58,151.0,0.18101,30.0,0.73436,0.73436
22943,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6XNE_C.pdb,0.99,151.0,0.17805,30.0,0.73166,0.73166
37737,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/6G6D_B.pdb,1.4,151.0,0.18006,30.0,0.73125,0.73125
32224,/gpfs/alpine/bif135/proj-shared/rbd_work/databases/PDB70/pdb70_2022_03_19/rbd_work/pdb70_2022_03_19_structures/structure_dir/5HKN_B.pdb,1.45,151.0,0.18005,30.0,0.73087,0.73087
